Historical homogenized temperature stations for Canada - Updated to December 2011,,,,,,,,,,
Stations historiques de temperatures homogénéisées pour le Canada - Mise à jour jusqu'à décembre 2011,,,,,,,,,,
Prov,station's name,stnid,beg yr,beg mon ,end yr,end mon,lat (deg),long (deg),elev (m),stns joined
Prov,nom de la station,stnid,année déb.,mois déb.,année fin.,année fin.,lat (deg),long (deg),élév (m),stns jointes
QC,TADOUSSAC,7048320,1913,11,2004,4,48.15,-69.70,70,N
QC,TEMISCAMINGUE,7080468,1910,4,2011,12,46.72,-79.10,181,N
QC,TETE BALEINE,7041382,1911,8,2011,12,50.70,-59.32,9,Y
QC,THETFORD MINES,7028441,1922,2,2011,10,46.10,-71.35,381,Y
QC,VAL D'OR,7098603,1951,7,2011,8,48.05,-77.78,337,Y
QC,VILLE MARIE,7088760,1913,12,2004,4,47.35,-79.43,213,N
NB,AROOSTOOK,8100300,1913,5,2011,12,46.80,-67.72,91,Y
NB,BATHURST,8100503,1922,1,2011,12,47.63,-65.75,59,Y
NB,CHATHAM MIRA.,8100989,1873,1,2011,12,47.02,-65.47,33,Y
NB,DOAKTOWN,8101200,1952,8,2009,5,46.55,-66.15,38,N
NB,EDMUNDSTON,810AL00,1918,1,2006,6,47.33,-68.18,163,Y
NB,FREDERICTON,8101500,1871,12,2011,12,45.87,-66.53,21,Y
NB,MONCTON,8103200,1898,1,2011,12,46.10,-64.68,71,Y
NB,REXTON,8104400,1924,9,2009,9,46.67,-64.87,5,N
NB,SAINT JOHN,8104900,1871,1,2011,12,45.32,-65.88,109,Y
NB,SUSSEX,8105200,1897,10,2009,5,45.72,-65.53,21,N
NB,WOODSTOCK,8105600,1914,1,2011,12,46.17,-67.55,153,N
NS,ANNAPOLIS ROYAL,8200100,1914,4,2006,2,44.75,-65.52,8,N
NS,COLLEGEVILLE,8201000,1916,6,2009,9,45.48,-62.02,76,N
NS,DEMING,8201410,1913,12,2009,9,45.22,-61.18,16,Y
NS,GREENWOOD,8202000,1942,11,2011,12,44.98,-64.92,28,N
NS,HALIFAX,8202250,1871,4,2011,12,44.65,-63.58,145,Y
NS,KENTVILLE,8202810,1913,4,2011,12,45.07,-64.48,49,Y
NS,LIVERPOOL,8203100,1940,1,2011,12,44.13,-64.93,50,N
NS,NAPPAN,8203702,1913,1,2011,12,45.77,-64.25,20,Y
NS,PARRSBORO,8204402,1897,2,2011,12,45.40,-64.33,24,Y
NS,SABLE ISLAND,8204700,1897,10,2011,12,43.93,-60.02,5,N
NS,SYDNEY,8205700,1870,1,2011,12,46.17,-60.05,62,Y
NS,UPPER STEWIACKE,8204193,1915,11,2011,12,45.22,-63.00,24,Y
NS,YARMOUTH,8206500,1879,1,2011,12,43.83,-66.08,43,Y
PE,CHARLOTTETOWN,8300300,1872,11,2011,12,46.28,-63.13,49,Y
PE,MONTICELLO,8300447,1960,12,2003,12,46.47,-62.47,32,N
PE,SUMMERSIDE,8300700,1929,6,2002,6,46.43,-63.83,20,Y
NL,BATTLE HARBOUR,8502591,1884,4,2001,9,52.25,-55.60,12,Y
NL,BAY D'ESPOIR,8400413,1967,11,2011,12,47.98,-55.80,23,N
NL,CARTWRIGHT,8501100,1934,11,2011,12,53.72,-57.03,14,N
NL,CHURCHILL FALLS,8501130,1968,11,2011,12,53.55,-64.10,489,Y
NL,CORNER BROOK,8401300,1933,4,2011,12,48.95,-57.95,5,N
NL,DANIELS HARBOUR,8401400,1946,11,2011,12,50.23,-57.58,19,N
NL,DEER LAKE,8401501,1933,3,2011,12,49.22,-57.40,22,Y
NL,EXPLOITS DAM,8401550,1956,6,2009,2,48.77,-56.60,154,N
